Bs_Name ,I_Name ,I_x ,I_y ,J_Name,J_x,J_y
华中.信广Ⅰ线,华中.广丰站,5023,3576,华中.信州站,5021,3615
华中.鹰信Ⅰ回线,华中.鹰潭站,4897,3688,华中.信州站,5021,3615
华中.贵信线,华中.信州站,5021,3615,华中.贵溪三期厂,4954,3681
华中.鹰贵线,华中.鹰潭站,4897,3688,华中.贵溪三期厂,4954,3681
江西.黄鹰Ⅰ回线,华中.鹰潭站,4897,3688,华中.黄金埠厂,4858,3722
华中.罗抚Ⅱ线,华中.罗坊站,4670,3713,华中.抚州站,4752,3791
华中.鹰抚Ⅱ线,华中.鹰潭站,4897,3688,华中.抚州站,4752,3791
华中.抚红线,华中.抚州站,4752,3791,华中.红都站,4675,3988
华中.唐抚Ⅰ线,华中.抚州站,4752,3791,华中.大唐抚州厂,4893.41,3791.83
华中.赣红Ⅰ线,华中.红都站,4675,3988,华中.赣州站,4631,3987
华中.罗文Ⅰ回线,华中.罗坊站,4670,3713,华中.文山站,4843,3843
华中.文赣Ⅱ回线,华中.赣州站,4631,3987,华中.文山站,4843,3843
华中.赣雷Ⅰ回线,华中.赣州站,4631,3987,华中.雷公山站,4582,4034
江西.井文Ⅰ回线,华中.文山站,4843,3843,华中.井冈山二期厂,4603,3816
华东.龙江5462线,华东.兰江,5276,3447,华东.双龙,5313,3507
华东.华龙5876线,国调.金华换流站,5153,3507,华东.双龙,5313,3507
华东.宁金5906线,国调.金华换流站,5153,3507,华东.宁德,5237,3780
华东.金康5878线,国调.金华换流站,5153,3507,华东.永康,5153,3347
华东.莲象5882线,华东.莲都,5216,3603,华东.万象,5274,3638
华东.华象5464线,国调.金华换流站,5153,3507,华东.万象,5274,3638
福建.崇宁Ⅰ路,华东.宁德,5237,3780,福建.崇儒变,5071,3701
福建.中宁Ⅱ路,华东.宁德,5237,3780,福建.洋中变,5020,3808
福建.田德Ⅰ路,华东.宁德,5237,3780,福建.陈田变,4930,3887
福建.唐宁Ⅰ路,华东.宁德,5237,3780,福建.宁德火电厂,5284,3779
福建.田三Ⅰ路,福建.陈田变,4930,3887,福建.三阳变,5132,4025
福建.水三线,福建.三阳变,5132,4025,福建.水口变,5132,3850
福建.卓三Ⅰ路,福建.三阳变,5132,4025,福建.卓然变,4958,4057
福建.水莆线,福建.水口变,5132,3850,福建.莆田变,5212,3964
福建.水笠线,福建.水口变,5132,3850,福建.笠里变,5190,3807
